,Messstelle,LQI<sub>BW</sub>,NO<sub>2</sub> [µg/m<sup>3</sup>],O<sub>3</sub> [µg/m<sup>3</sup>],PM<sub>10</sub> [µg/m<sup>3</sup>],"PM<sub>2,5</sub> [µg/m<sup>3</sup>]",Kategorie,Reg.-Bez.,extra_0,extra_1,extra_2,extra_3
0,Aalen,3,3,4,56.0,22.0,26.0,26,16.0,16,städt. Hgr.,S
1,Baden-Baden,3,4,5,,,27.0,27,17.0,17,städt. Hgr.,KA
2,Bernhausen,3,3,4,22.0,51.0,27.0,27,14.0,14,städt. Hgr.,S
3,Biberach,2,2,4,18.0,48.0,22.0,22,15.0,15,städt. Hgr.,TÜ
4,Eggenstein,3,3,5,16.0,,28.0,28,17.0,17,städt. Hgr.,KA
5,Freiburg,3,3,4,6.0,100.0,26.0,26,16.0,16,städt. Hgr.,FR
6,Freiburg Schwarzwaldstraße,3,3,3,8.0,,27.0,27,16.0,16,Verkehr,FR
7,Friedrichshafen,3,3,4,10.0,84.0,27.0,27,17.0,17,städt. Hgr.,TÜ
8,Gärtringen,2,3,4,5.0,80.0,18.0,18,12.0,12,städt. Hgr.,S
9,Heidelberg,3,3,4,5.0,97.0,23.0,23,14.0,14,städt. Hgr.,KA
10,Heilbronn,3,3,4,38.0,22.0,32.0,32,18.0,19,städt. Hgr.,S
11,Heilbronn Weinsberger Straße-Ost,2,3,3,26.0,,,,,,Verkehr,S
12,Karlsruhe Reinhold-Frank-Straße,3,3,3,17.0,,32.0,32,19.0,19,Verkehr,KA
13,Karlsruhe-Nordwest,3,3,4,12.0,85.0,31.0,31,20.0,20,städt. Hgr.,KA
14,Kehl,3,4,4,13.0,,29.0,30,16.0,17,städt. Hgr.,FR
15,Konstanz,3,3,4,8.0,84.0,30.0,31,17.0,17,städt. Hgr.,FR
16,Ludwigsburg,3,3,4,14.0,88.0,24.0,24,15.0,15,städt. Hgr.,S
17,Ludwigsburg Schlossstraße,2,3,3,30.0,,21.0,22,13.0,13,Spot (kontinuierlich),S
18,Mannheim Friedrichsring,3,3,3,36.0,,28.0,28,15.0,15,Verkehr,KA
19,Mannheim-Nord,3,3,4,24.0,,29.0,29,18.0,18,städt. Hgr.,KA
20,Neuenburg,3,3,4,7.0,83.0,25.0,26,15.0,15,städt. Hgr.,FR
21,Pforzheim,2,2,4,11.0,74.0,26.0,26,17.0,17,städt. Hgr.,KA
22,Pforzheim Luisenstraße,2,2,4,19.0,,25.0,25,15.0,15,Spot (kontinuierlich),KA
23,Reutlingen,3,4,4,24.0,84.0,25.0,25,15.0,15,städt. Hgr.,TÜ
24,Reutlingen Lederstraße-Ost,2,2,3,30.0,,22.0,22,14.0,14,Verkehr,TÜ
25,Schramberg Oberndorfer Straße,1,2,2,14.0,,,,,,Verkehr,FR
26,Schwarzwald-Süd,3,4,4,1.0,108.0,20.0,21,13.0,13,ländl. Hgr.,FR
27,Schwäbisch Hall,2,2,4,14.0,36.0,22.0,22,14.0,14,städt. Hgr.,S
28,Schwäbische Alb,4,4,4,2.0,137.0,23.0,23,12.0,12,ländl. Hgr.,TÜ
29,Stuttgart Am Neckartor,0,0,0,,,,,,,Spot (kontinuierlich),S
30,Stuttgart Arnulf-Klett-Platz,0,0,0,,,,,,,Verkehr,S
31,Stuttgart Hauptstätter Straße,2,2,3,26.0,,23.0,24,15.0,15,Spot (kontinuierlich),S
32,Stuttgart Hohenheimer Straße,0,3,3,,,,,,,Spot (kontinuierlich),S
33,Stuttgart-Bad Cannstatt,2,3,4,15.0,78.0,22.0,22,14.0,14,städt. Hgr.,S
34,Tauberbischofsheim,3,3,4,7.0,35.0,29.0,29,17.0,17,städt. Hgr.,S
35,Tübingen Mühlstraße,3,3,3,19.0,,28.0,28,16.0,16,Spot (kontinuierlich),TÜ
36,Ulm,3,3,4,19.0,70.0,28.0,29,17.0,17,städt. Hgr.,TÜ
37,Villingen-Schwenningen,3,3,4,10.0,67.0,30.0,30,20.0,20,städt. Hgr.,FR
38,Weil am Rhein,3,3,4,5.0,82.0,23.0,23,14.0,14,städt. Hgr.,FR
39,Wiesloch,3,3,4,6.0,84.0,24.0,25,15.0,15,städt. Hgr.,KA
