,Messstelle,LQI<sub>BW</sub>,NO<sub>2</sub> [µg/m<sup>3</sup>],O<sub>3</sub> [µg/m<sup>3</sup>],PM<sub>10</sub> [µg/m<sup>3</sup>],"PM<sub>2,5</sub> [µg/m<sup>3</sup>]",Kategorie,Reg.-Bez.,extra_0,extra_1,extra_2,extra_3
0,Aalen,2.0,2,3,2.0,39.0,7.0,7,3.0,3,städt. Hgr.,S
1,Baden-Baden,2.0,2,3,4.0,44.0,7.0,7,2.0,2,städt. Hgr.,KA
2,Bernhausen,2.0,2,3,3.0,49.0,7.0,7,3.0,3,städt. Hgr.,S
3,Biberach,2.0,2,3,4.0,43.0,11.0,12,7.0,8,städt. Hgr.,TÜ
4,Eggenstein,2.0,2,2,4.0,54.0,9.0,10,3.0,3,städt. Hgr.,KA
5,Freiburg,2.0,2,3,6.0,46.0,6.0,6,3.0,3,städt. Hgr.,FR
6,Freiburg Schwarzwaldstraße,1.0,1,2,10.0,,7.0,7,4.0,4,Verkehr,FR
7,Friedrichshafen,2.0,3,3,6.0,62.0,10.0,10,7.0,7,städt. Hgr.,TÜ
8,Gärtringen,2.0,2,3,3.0,44.0,5.0,6,3.0,3,städt. Hgr.,S
9,Heidelberg,1.0,1,2,4.0,30.0,7.0,7,3.0,3,städt. Hgr.,KA
10,Heilbronn,1.0,2,3,9.0,,7.0,8,4.0,4,städt. Hgr.,S
11,Heilbronn Weinsberger Straße-Ost,1.0,2,3,10.0,,,,,,Verkehr,S
12,Karlsruhe Reinhold-Frank-Straße,1.0,1,2,4.0,,8.0,8,3.0,3,Verkehr,KA
13,Karlsruhe-Nordwest,1.0,2,3,3.0,,7.0,8,3.0,3,städt. Hgr.,KA
14,Kehl,2.0,2,3,9.0,46.0,8.0,8,4.0,4,städt. Hgr.,FR
15,Konstanz,2.0,2,3,,60.0,10.0,10,6.0,6,städt. Hgr.,
16,Ludwigsburg,2.0,2,3,,45.0,6.0,6,3.0,3,städt. Hgr.,S
17,Ludwigsburg Schlossstraße,1.0,1,3,,,10.0,10,4.0,4,Spot (kontinuierlich),S
18,Mannheim Friedrichsring,1.0,1,2,17.0,,8.0,9,3.0,3,Verkehr,KA
19,Mannheim-Nord,1.0,2,2,13.0,18.0,6.0,6,3.0,3,städt. Hgr.,KA
20,Neuenburg,2.0,2,3,3.0,56.0,7.0,7,3.0,4,städt. Hgr.,FR
21,Pforzheim,2.0,2,3,,56.0,6.0,6,3.0,3,städt. Hgr.,KA
22,Pforzheim Luisenstraße,1.0,1,2,,,7.0,7,3.0,4,Spot (kontinuierlich),KA
23,Reutlingen,2.0,2,3,0.0,59.0,7.0,7,4.0,4,städt. Hgr.,TÜ
24,Reutlingen Lederstraße-Ost,1.0,1,2,2.0,,8.0,8,4.0,4,Verkehr,TÜ
25,Schramberg Oberndorfer Straße,1.0,1,1,3.0,,,,,,Verkehr,FR
26,Schwarzwald-Süd,1.0,2,3,0.0,,5.0,5,2.0,2,ländl. Hgr.,FR
27,Schwäbisch Hall,2.0,2,2,3.0,44.0,14.0,14,4.0,4,städt. Hgr.,S
28,Schwäbische Alb,2.0,2,3,2.0,54.0,5.0,5,2.0,3,ländl. Hgr.,TÜ
29,Stuttgart Hauptstätter Straße,1.0,1,2,11.0,,7.0,7,4.0,4,Spot (kontinuierlich),S
30,Stuttgart Hohenheimer Straße,,1,3,,,,,,,Spot (kontinuierlich),S
31,Stuttgart-Bad Cannstatt,2.0,2,3,6.0,39.0,7.0,7,3.0,4,städt. Hgr.,S
32,Tauberbischofsheim,1.0,1,2,8.0,8.0,5.0,6,2.0,3,städt. Hgr.,S
33,Tübingen Mühlstraße,1.0,1,3,9.0,,9.0,9,4.0,4,Spot (kontinuierlich),TÜ
34,Ulm,2.0,2,3,4.0,47.0,9.0,10,5.0,5,städt. Hgr.,TÜ
35,Villingen-Schwenningen,2.0,2,3,4.0,32.0,6.0,6,3.0,4,städt. Hgr.,FR
36,Weil am Rhein,1.0,2,3,8.0,,7.0,7,3.0,3,städt. Hgr.,FR
37,Wiesloch,2.0,2,2,5.0,50.0,8.0,8,3.0,3,städt. Hgr.,KA
